0.000000 0.000000 0.722731
0.062832 0.062791 0.480722
0.125664 0.125333 0.718911
0.188496 0.187381 0.596738
0.251327 0.248690 1.182273
0.314159 0.309017 1.215605
0.376991 0.368125 0.652769
0.439823 0.425779 0.716708
0.502655 0.481754 1.355592
0.565487 0.535827 1.097825
0.628319 0.587785 1.271532
0.691150 0.637424 1.265099
0.753982 0.684547 1.423758
0.816814 0.728969 0.775955
0.879646 0.770513 1.106757
0.942478 0.809017 0.954917
1.005310 0.844328 0.957860
1.068142 0.876307 1.127783
1.130973 0.904827 1.380589
1.193805 0.929776 1.166522
1.256637 0.951057 1.343084
1.319469 0.968583 1.847205
1.382301 0.982287 1.209131
1.445133 0.992115 1.792993
1.507964 0.998027 1.225043
1.570796 1.000000 1.099758
1.633628 0.998027 1.186547
1.696460 0.992115 1.617083
1.759292 0.982287 1.350196
1.822124 0.968583 1.589199
1.884956 0.951057 1.816935
1.947787 0.929776 1.693904
2.010619 0.904827 1.236174
2.073451 0.876307 1.564826
2.136283 0.844328 1.522766
2.199115 0.809017 1.027471
2.261947 0.770513 0.841112
2.324779 0.728969 1.477105
2.387610 0.684547 0.952175
2.450442 0.637424 1.035549
2.513274 0.587785 1.500674
2.576106 0.535827 0.943235
2.638938 0.481754 0.710071
2.701770 0.425779 0.456918
2.764602 0.368125 1.074454
2.827433 0.309017 0.610395
2.890265 0.248690 0.668960
2.953097 0.187381 0.740998
3.015929 0.125333 0.209444
3.078761 0.062791 0.621517
3.141593 -0.000000 0.169401
3.204425 -0.062791 0.772223
3.267256 -0.125333 0.749924
3.330088 -0.187381 0.351062
3.392920 -0.248690 -0.116527
3.455752 -0.309017 0.330512
3.518584 -0.368125 0.068326
3.581416 -0.425779 -0.277319
3.644247 -0.481754 -0.401442
3.707079 -0.535827 -0.274834
3.769911 -0.587785 0.245568
3.832743 -0.637424 -0.276576
3.895575 -0.684547 -0.054670
3.958407 -0.728969 -0.723729
4.021239 -0.770513 -0.611912
4.084070 -0.809017 -0.330480
4.146902 -0.844328 -0.501182
4.209734 -0.876307 -0.306305
4.272566 -0.904827 -0.007127
4.335398 -0.929776 -0.566488
4.398230 -0.951057 -0.905043
4.461062 -0.968583 -0.891669
4.523893 -0.982287 -0.932533
4.586725 -0.992115 -0.844882
4.649557 -0.998027 -0.591054
4.712389 -1.000000 -0.082292
4.775221 -0.998027 -0.025430
4.838053 -0.992115 -0.497165
4.900885 -0.982287 -0.788266
4.963716 -0.968583 -0.650120
5.026548 -0.951057 -0.884900
5.089380 -0.929776 -0.247152
5.152212 -0.904827 -0.793277
5.215044 -0.876307 -0.246601
5.277876 -0.844328 -0.483256
5.340708 -0.809017 -0.768904
5.403539 -0.770513 0.225299
5.466371 -0.728969 0.161583
5.529203 -0.684547 -0.340145
5.592035 -0.637424 -0.461791
5.654867 -0.587785 -0.140774
5.717699 -0.535827 0.456875
5.780530 -0.481754 -0.108858
5.843362 -0.425779 -0.402696
5.906194 -0.368125 0.621718
5.969026 -0.309017 0.612522
6.031858 -0.248690 -0.109144
6.094690 -0.187381 0.279921
6.157522 -0.125333 0.732457
6.220353 -0.062791 0.198556
6.283185 -0.000000 0.090003
